Quarter,Category,Store,Department,Amount
"Q1, 24",Cost of Goods Sold,A,MEAT ,-56785.00
"Q3, 24",Cost of Goods Sold,A,MEAT ,-46681.00
"Q3, 24",Cost of Goods Sold,A,Grocery,-41954.00
"Q3, 24",Cost of Goods Sold,A,Grocery,-35527.00
"Q4, 24",Cost of Goods Sold,A,Grocery,-33761.00
"Q4, 25",Cost of Goods Sold,A,Grocery,-30404.00
"Q1, 24",Cost of Goods Sold,A,Grocery,-30313.00
"Q2, 24",Cost of Goods Sold,A,MEAT ,-28690.00
"Q3, 24",Cost of Goods Sold,A,Grocery,-27608.00
"Q4, 24",Cost of Goods Sold,A,Grocery,-27052.00
"Q1, 25",Cost of Goods Sold,A,Grocery,-26488.00
"Q2, 25",Cost of Goods Sold,A,Grocery,-26451.00
"Q1, 26",Cost of Goods Sold,A,Grocery,-26218.00
"Q3, 25",Cost of Goods Sold,A,Grocery,-26176.00
"Q1, 24",Cost of Goods Sold,A,Grocery,-23137.00
"Q1, 24",Cost of Goods Sold,A,Grocery,-22526.00
"Q1, 26",Cost of Goods Sold,A,MEAT ,-21923.00
"Q2, 24",Cost of Goods Sold,A,Grocery,-21551.00
"Q1, 26",Cost of Goods Sold,A,Grocery,-20289.00
"Q3, 24",Cost of Goods Sold,A,PRODUCE ,-19809.00
"Q2, 25",Cost of Goods Sold,A,Grocery,-18816.00
"Q4, 24",Cost of Goods Sold,A,PRODUCE ,-18180.00
"Q4, 24",Cost of Goods Sold,A,MEAT ,-18157.00
"Q4, 24",Cost of Goods Sold,A,Grocery,-18133.00
"Q2, 26",Cost of Goods Sold,A,Grocery,-17009.00
"Q4, 25",Cost of Goods Sold,A,Grocery,-16872.00
"Q4, 25",Cost of Goods Sold,A,Grocery,-16756.00
"Q3, 24",Cost of Goods Sold,A,DELI ,-16215.00
"Q2, 24",Cost of Goods Sold,A,Grocery,-14874.00
"Q4, 24",Cost of Goods Sold,A,DELI ,-14537.00
"Q2, 25",Cost of Goods Sold,A,MEAT ,-13601.00
"Q3, 24",Cost of Goods Sold,A,TOBACCO ,-13186.00
"Q1, 26",Cost of Goods Sold,A,Grocery,-11676.00
"Q2, 26",Cost of Goods Sold,A,Grocery,-11563.00
"Q2, 24",Cost of Goods Sold,A,Grocery,-10883.00
"Q1, 25",Cost of Goods Sold,A,Grocery,-10377.00
"Q2, 26",Cost of Goods Sold,A,Grocery,-10202.00
"Q3, 24",Cost of Goods Sold,A,Grocery,-9953.00
"Q3, 25",Cost of Goods Sold,A,Grocery,-9780.00
"Q2, 25",Cost of Goods Sold,A,Grocery,-9383.00
"Q1, 25",Cost of Goods Sold,A,MEAT ,-9323.00
"Q1, 25",Cost of Goods Sold,A,DELI ,-8792.00
"Q2, 26",Cost of Goods Sold,A,DELI ,-8639.00
"Q1, 26",Cost of Goods Sold,A,PRODUCE ,-8426.00
"Q3, 25",Cost of Goods Sold,A,TOBACCO ,-7826.00
"Q4, 25",Cost of Goods Sold,A,MEAT ,-7204.00
"Q2, 25",Cost of Goods Sold,A,BEER ,-6946.00
"Q4, 25",Cost of Goods Sold,A,DELI ,-6669.00
"Q3, 25",Cost of Goods Sold,A,MEAT ,-6635.00
"Q1, 24",Cost of Goods Sold,A,MEAT ,-6448.00
"Q3, 24",Cost of Goods Sold,A,MEAT ,-6012.00
"Q3, 24",Cost of Goods Sold,A,MEAT ,-5814.00
"Q2, 24",Cost of Goods Sold,A,PRODUCE ,-5614.00
"Q4, 25",Cost of Goods Sold,A,BAKERY ,-5540.00
"Q1, 26",Cost of Goods Sold,A,MEAT ,-5361.00
